mask_id,segmentation,area,bbox,predicted_iou,point_coords,stability_score,crop_box
17,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",2962,"[0.0, 90.0, 31.0, 128.0]",0.9709484577178955,"[[9.8203125, 93.03125]]",0.9772878885269165,"[0.0, 0.0, 1257.0, 916.0]"
18,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",64114,"[434.0, 0.0, 322.0, 463.0]",0.9697666764259338,"[[716.8828125, 7.15625]]",0.9848459362983704,"[0.0, 0.0, 1257.0, 916.0]"
19,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",28138,"[62.0, 657.0, 296.0, 113.0]",0.9688758850097656,"[[147.3046875, 751.40625]]",0.9604586362838745,"[0.0, 0.0, 1257.0, 916.0]"
20,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",26383,"[801.0, 417.0, 298.0, 113.0]",0.9681587815284729,"[[834.7265625, 479.46875]]",0.9693459272384644,"[0.0, 0.0, 1257.0, 916.0]"
21,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",26717,"[801.0, 417.0, 299.0, 164.0]",0.9665769338607788,"[[1070.4140625, 479.46875]]",0.959640622138977,"[0.0, 0.0, 1257.0, 916.0]"
22,"[[ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",14226,"[0.0, 0.0, 362.0, 216.0]",0.9661610126495361,"[[186.5859375, 7.15625]]",0.8393258452415466,"[0.0, 0.0, 1257.0, 916.0]"
23,"[[ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",13606,"[0.0, 0.0, 362.0, 123.0]",0.9647589325904846,"[[245.5078125, 35.78125]]",0.9666954874992371,"[0.0, 0.0, 1257.0, 916.0]"
24,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36771,"[0.0, 347.0, 700.0, 130.0]",0.9623059630393982,"[[9.8203125, 436.53125]]",0.976669192314148,"[0.0, 0.0, 1257.0, 916.0]"
25,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",28347,"[62.0, 657.0, 421.0, 164.0]",0.9613325595855713,"[[284.7890625, 751.40625]]",0.9564411640167236,"[0.0, 0.0, 1257.0, 916.0]"
26,"[[ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",14110,"[0.0, 0.0, 362.0, 80.0]",0.9599549770355225,"[[166.9453125, 35.78125]]",0.8400686979293823,"[0.0, 0.0, 1257.0, 916.0]"
27,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",16036,"[0.0, 759.0, 359.0, 104.0]",0.958617627620697,"[[108.0234375, 780.03125]]",0.9535790681838989,"[0.0, 0.0, 1257.0, 916.0]"
28,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",15998,"[0.0, 759.0, 359.0, 72.0]",0.9563931226730347,"[[108.0234375, 794.34375]]",0.9551873803138733,"[0.0, 0.0, 1257.0, 916.0]"
29,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",10779,"[0.0, 18.0, 383.0, 68.0]",0.9537904262542725,"[[29.4609375, 35.78125]]",0.9502123594284058,"[0.0, 0.0, 1257.0, 916.0]"
30,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",10584,"[0.0, 320.0, 373.0, 57.0]",0.9525383710861206,"[[108.0234375, 350.65625]]",0.9648927450180054,"[0.0, 0.0, 1257.0, 916.0]"
31,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",3617,"[740.0, 561.0, 72.0, 53.0]",0.9518728852272034,"[[756.1640625, 593.96875]]",0.9680502414703369,"[0.0, 0.0, 1257.0, 916.0]"
32,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",28509,"[51.0, 657.0, 308.0, 225.0]",0.9493926167488098,"[[265.1484375, 737.09375]]",0.9274725317955017,"[0.0, 0.0, 1257.0, 916.0]"
33,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",25516,"[819.0, 288.0, 282.0, 122.0]",0.9463372826576233,"[[913.2890625, 393.59375]]",0.9426894187927246,"[0.0, 0.0, 1257.0, 916.0]"
34,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",5109,"[156.0, 808.0, 111.0, 64.0]",0.9463045001029968,"[[225.8671875, 822.96875]]",0.9423587322235107,"[0.0, 0.0, 1257.0, 916.0]"
35,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",9889,"[0.0, 625.0, 361.0, 46.0]",0.943489134311676,"[[88.3828125, 651.21875]]",0.9606189727783203,"[0.0, 0.0, 1257.0, 916.0]"
36,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",13350,"[358.0, 537.0, 66.0, 236.0]",0.9397255778312683,"[[402.6328125, 708.46875]]",0.9488362073898315,"[0.0, 0.0, 1257.0, 916.0]"
37,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",10023,"[0.0, 545.0, 361.0, 126.0]",0.9383423328399658,"[[9.8203125, 636.90625]]",0.9011492133140564,"[0.0, 0.0, 1257.0, 916.0]"
38,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",1255,"[191.0, 701.0, 47.0, 29.0]",0.937195360660553,"[[206.2265625, 708.46875]]",0.9694835543632507,"[0.0, 0.0, 1257.0, 916.0]"
39,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36735,"[0.0, 19.0, 857.0, 180.0]",0.936682403087616,"[[29.4609375, 107.34375]]",0.9237105250358582,"[0.0, 0.0, 1257.0, 916.0]"
40,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",5021,"[1065.0, 324.0, 73.0, 143.0]",0.9365848302841187,"[[1090.0546875, 422.21875]]",0.9317307472229004,"[0.0, 0.0, 1257.0, 916.0]"
41,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",7074,"[802.0, 390.0, 269.0, 47.0]",0.9328378438949585,"[[932.9296875, 407.90625]]",0.9487391710281372,"[0.0, 0.0, 1257.0, 916.0]"
42,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",524,"[1195.0, 77.0, 31.0, 18.0]",0.9320754408836365,"[[1207.8984375, 93.03125]]",0.9753788113594055,"[0.0, 0.0, 1257.0, 916.0]"
43,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",404,"[123.0, 561.0, 29.0, 15.0]",0.9315521717071533,"[[147.3046875, 565.34375]]",0.9537712931632996,"[0.0, 0.0, 1257.0, 916.0]"
44,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",588,"[1176.0, 671.0, 23.0, 28.0]",0.9286370873451233,"[[1188.2578125, 694.15625]]",0.9616026878356934,"[0.0, 0.0, 1257.0, 916.0]"
45,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",394,"[202.0, 522.0, 31.0, 14.0]",0.9275643229484558,"[[225.8671875, 536.71875]]",0.9503722190856934,"[0.0, 0.0, 1257.0, 916.0]"
46,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",7040,"[802.0, 390.0, 270.0, 112.0]",0.925301730632782,"[[815.0859375, 407.90625]]",0.9502976536750793,"[0.0, 0.0, 1257.0, 916.0]"
47,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",2179,"[574.0, 805.0, 73.0, 37.0]",0.9248176217079163,"[[599.0390625, 822.96875]]",0.9611562490463257,"[0.0, 0.0, 1257.0, 916.0]"
48,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",38365,"[0.0, 40.0, 354.0, 306.0]",0.923586368560791,"[[225.8671875, 322.03125]]",0.9498071670532227,"[0.0, 0.0, 1257.0, 916.0]"
49,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",312,"[1004.0, 398.0, 28.0, 13.0]",0.9157190918922424,"[[1031.1328125, 407.90625]]",0.955974817276001,"[0.0, 0.0, 1257.0, 916.0]"
50,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",533,"[212.0, 232.0, 34.0, 18.0]",0.9155871868133545,"[[225.8671875, 236.15625]]",0.9523809552192688,"[0.0, 0.0, 1257.0, 916.0]"
51,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",11439,"[0.0, 484.0, 364.0, 188.0]",0.9155246615409851,"[[284.7890625, 665.53125]]",0.8267214894294739,"[0.0, 0.0, 1257.0, 916.0]"
52,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",1322,"[361.0, 848.0, 69.0, 29.0]",0.9139637351036072,"[[382.9921875, 865.90625]]",0.9476014971733093,"[0.0, 0.0, 1257.0, 916.0]"
53,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",463,"[133.0, 300.0, 31.0, 17.0]",0.9133208394050598,"[[147.3046875, 307.71875]]",0.9682203531265259,"[0.0, 0.0, 1257.0, 916.0]"
54,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",9179,"[1109.0, 342.0, 35.0, 321.0]",0.9128860235214233,"[[1129.3359375, 450.84375]]",0.9183844327926636,"[0.0, 0.0, 1257.0, 916.0]"
55,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",45303,"[420.0, 498.0, 387.0, 246.0]",0.9047715067863464,"[[579.3984375, 565.34375]]",0.9350153803825378,"[0.0, 0.0, 1257.0, 916.0]"
56,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",27826,"[820.0, 289.0, 402.0, 178.0]",0.8913525342941284,"[[1109.6953125, 322.03125]]",0.9398818016052246,"[0.0, 0.0, 1257.0, 916.0]"
57,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",281,"[1003.0, 636.0, 28.0, 11.0]",0.8849076628684998,"[[1011.4921875, 636.90625]]",0.9480968713760376,"[0.0, 0.0, 1257.0, 916.0]"
58,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",444,"[1193.0, 337.0, 30.0, 17.0]",0.8831870555877686,"[[1207.8984375, 336.34375]]",0.9562363028526306,"[0.0, 0.0, 1257.0, 916.0]"
59,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",19160,"[28.0, 150.0, 350.0, 88.0]",0.8816315531730652,"[[363.3515625, 193.21875]]",0.9223095774650574,"[0.0, 0.0, 1257.0, 916.0]"
60,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",17656,"[706.0, 613.0, 450.0, 78.0]",0.8740309476852417,"[[893.6484375, 665.53125]]",0.869279682636261,"[0.0, 0.0, 1257.0, 916.0]"
61,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",2443,"[340.0, 534.0, 26.0, 113.0]",0.8672426342964172,"[[363.3515625, 565.34375]]",0.9128225445747375,"[0.0, 0.0, 1257.0, 916.0]"
62,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",2785,"[350.0, 241.0, 30.0, 109.0]",0.8643186092376709,"[[363.3515625, 322.03125]]",0.9352818131446838,"[0.0, 0.0, 1257.0, 916.0]"
63,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",3831,"[709.0, 561.0, 103.0, 56.0]",0.8588340282440186,"[[736.5234375, 608.28125]]",0.9253132939338684,"[0.0, 0.0, 1257.0, 916.0]"
64,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",31553,"[741.0, 0.0, 73.0, 610.0]",0.8409923911094666,"[[775.8046875, 479.46875]]",0.8585273027420044,"[0.0, 0.0, 1257.0, 916.0]"
65,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",17205,"[811.0, 569.0, 404.0, 105.0]",0.8391034603118896,"[[874.0078125, 593.96875]]",0.8783637285232544,"[0.0, 0.0, 1257.0, 916.0]"
66,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",585,"[0.0, 688.0, 16.0, 75.0]",0.8324773907661438,"[[9.8203125, 751.40625]]",0.9409835934638977,"[0.0, 0.0, 1257.0, 916.0]"
67,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",10949,"[381.0, 0.0, 63.0, 189.0]",0.8075075149536133,"[[402.6328125, 7.15625]]",0.9427433609962463,"[0.0, 0.0, 1257.0, 916.0]"
68,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",19530,"[26.0, 150.0, 674.0, 98.0]",0.8058120608329773,"[[68.7421875, 207.53125]]",0.9235517978668213,"[0.0, 0.0, 1257.0, 916.0]"
69,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",21093,"[0.0, 450.0, 410.0, 83.0]",0.7975786924362183,"[[363.3515625, 479.46875]]",0.8916856646537781,"[0.0, 0.0, 1257.0, 916.0]"
70,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",1411,"[361.0, 0.0, 28.0, 60.0]",0.7920522689819336,"[[382.9921875, 7.15625]]",0.923549473285675,"[0.0, 0.0, 1257.0, 916.0]"
71,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",13281,"[370.0, 19.0, 64.0, 460.0]",0.7890384197235107,"[[422.2734375, 465.15625]]",0.9157209992408752,"[0.0, 0.0, 1257.0, 916.0]"
72,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",1747,"[809.0, 7.0, 18.0, 103.0]",0.7821370363235474,"[[815.0859375, 78.71875]]",0.9198242425918579,"[0.0, 0.0, 1257.0, 916.0]"
73,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",1922,"[801.0, 285.0, 19.0, 104.0]",0.7809263467788696,"[[815.0859375, 364.96875]]",0.9129143953323364,"[0.0, 0.0, 1257.0, 916.0]"
74,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",148,"[3.0, 620.0, 22.0, 8.0]",0.7737322449684143,"[[9.8203125, 622.59375]]",0.9281045794487,"[0.0, 0.0, 1257.0, 916.0]"
75,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",55383,"[0.0, 449.0, 1095.0, 176.0]",0.7178913950920105,"[[127.6640625, 508.09375]]",0.8383298516273499,"[0.0, 0.0, 1257.0, 916.0]"
76,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",3657,"[0.0, 91.0, 31.0, 671.0]",0.7007365822792053,"[[9.8203125, 150.28125]]",0.8680958151817322,"[0.0, 0.0, 1257.0, 916.0]"
77,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",12401,"[744.0, 18.0, 60.0, 490.0]",0.6984499096870422,"[[795.4453125, 493.78125]]",0.917039692401886,"[0.0, 0.0, 1257.0, 916.0]"
78,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",21484,"[0.0, 450.0, 739.0, 92.0]",0.6862819194793701,"[[9.8203125, 465.15625]]",0.8459982872009277,"[0.0, 0.0, 1257.0, 916.0]"
79,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",55503,"[0.0, 450.0, 1095.0, 256.0]",0.6857557892799377,"[[166.9453125, 493.78125]]",0.8309206366539001,"[0.0, 0.0, 1257.0, 916.0]"
80,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",16153,"[811.0, 569.0, 297.0, 87.0]",0.6853675246238708,"[[952.5703125, 579.65625]]",0.9397779107093811,"[0.0, 0.0, 1257.0, 916.0]"
81,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",1955,"[0.0, 91.0, 30.0, 89.0]",0.6775389313697815,"[[9.8203125, 164.59375]]",0.9531171917915344,"[0.0, 0.0, 1257.0, 916.0]"
82,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",13165,"[371.0, 244.0, 63.0, 235.0]",0.6773109436035156,"[[422.2734375, 450.84375]]",0.9200058579444885,"[0.0, 0.0, 1257.0, 916.0]"
83,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",40925,"[358.0, 0.0, 84.0, 770.0]",0.6363375186920166,"[[402.6328125, 422.21875]]",0.8144547343254089,"[0.0, 0.0, 1257.0, 916.0]"
84,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",23951,"[1098.0, 337.0, 138.0, 292.0]",0.6267017126083374,"[[1207.8984375, 593.96875]]",0.9161772131919861,"[0.0, 0.0, 1257.0, 916.0]"
